Sample_Name	ESs	COV	EPCM
GM12787_1	110969	429260686	258.51191
GM12787_2	100212	426585645	234.91648
GM12787_3	143645	429010279	334.82881
GM12787_4	159662	442089576	361.15305
GM12787_5	44064	144539159	304.85856
GM12787_6	33124	124762099	265.4973
GM12787_7	11161	135245350	82.52409
GM12787_8	63908	240680158	265.53082
GM12787_9	25403	77500640	327.77794
GM12787_10	35449	80022239	442.98935
GM12787_11	68340	253884899	269.1771
GM12787_12	48718	254647428	191.3155
GM12787_13	141685	479780881	295.31189
GM12787_14	105633	405457605	260.52785
K562_1	11969	185212004	64.62324
K562_2	53927	439117741	122.80761
K562_3	41638	383000156	108.71536
K562_4	29415	259880843	113.18649
K562_5	18077	246635991	73.29425
K562_6	50386	411286655	122.50823
K562_7	45054	375114040	120.10747
