chr	pos	GM12787_1	GM12787_2	GM12787_3	GM12787_4	GM12787_5	GM12787_6	GM12787_7	GM12787_8	GM12787_9	GM12787_10	GM12787_11	GM12787_12	GM12787_13	GM12787_14	K562_1	K562_2	K562_3	K562_4	K562_5	K562_6	K562_7
1	511684	2	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	12	0	0	0	0
1	749346	5	0	0	0	0	0	3	0	0	0	0	0	19	24	0	0	0	0	7	10	0
1	780381	6	0	0	0	0	0	0	0	1	0	3	0	0	14	3	9	0	0	0	0	0
1	783005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	785743	6	3	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
1	807444	1	1	3	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
1	818044	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	958250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1083323	2	0	2	4	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0
1	1101874	5	1	0	0	0	0	0	5	1	0	0	0	0	0	1	0	4	0	0	0	0
1	1105474	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	4	4	0	3
1	1223826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1264831	4	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	5	0
1	1316867	4	0	7	0	0	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
1	1402871	15	7	0	0	0	0	0	0	5	0	15	0	0	0	13	0	0	10	0	1	1
1	1402938	10	0	0	0	0	0	0	0	0	0	7	0	0	0	8	0	0	5	0	0	0
1	1408125	11	9	0	4	0	0	0	11	0	0	33	0	0	0	0	0	0	0	0	7	0
1	1408874	2	5	0	8	0	0	0	9	0	0	8	14	20	12	13	11	0	5	0	7	9
1	1409620	16	7	16	9	2	4	5	14	6	8	8	0	0	0	3	10	13	4	3	14	17
1	1483149	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	44
1	1483155	11	7	23	10	0	0	6	33	0	0	0	0	0	0	16	47	28	24	0	47	38
1	1483679	6	11	11	12	0	0	8	29	0	0	24	0	0	3	14	30	17	19	15	24	21
1	1483680	4	9	9	7	0	0	5	12	0	0	20	20	2	2	0	0	0	0	0	0	0
1	1484309	7	5	13	9	0	0	0	27	0	0	12	0	0	0	17	23	13	16	6	43	43
1	1484319	6	5	16	19	0	0	6	31	0	0	11	0	0	0	16	26	8	8	8	55	47
1	1484365	4	3	6	7	0	0	0	18	0	0	10	0	2	0	6	12	5	5	2	14	13
1	1484387	7	8	6	7	0	0	0	23	0	0	8	0	0	1	12	16	0	8	5	19	9
1	1484392	3	5	2	6	0	0	2	13	0	0	8	0	2	0	6	11	3	3	1	14	7
1	1521798	6	4	3	8	0	0	1	0	0	0	0	0	0	0	0	12	0	10	2	17	22
1	1521799	4	3	2	9	0	0	0	0	0	0	0	6	0	0	0	8	4	5	2	11	18
1	1522138	4	0	0	0	0	0	0	19	0	0	12	0	0	0	0	0	0	3	0	0	15
1	1522139	1	0	0	10	0	0	0	14	0	0	9	7	0	0	6	15	7	3	2	19	15
1	1522164	2	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	17	0
1	1522220	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	14	6	0	0	0	0
1	1522223	2	0	2	0	0	0	0	8	0	0	7	0	0	0	9	12	4	3	0	0	8
1	1559812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1561283	1	2	0	3	0	0	0	7	2	7	8	0	0	0	0	0	0	0	0	0	0
1	1561304	2	0	0	4	0	0	0	4	3	0	0	0	0	0	0	10	5	0	0	0	0
1	1573078	2	0	4	4	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0
1	1647479	2	2	5	7	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1663537	30	23	43	60	0	0	23	161	40	18	51	0	5	0	52	108	0	0	30	95	0
1	1663566	28	22	41	58	3	0	15	96	22	12	49	0	2	2	0	80	52	38	28	60	64
1	1663585	32	0	44	0	0	0	20	133	0	13	0	0	0	0	0	0	0	0	0	0	0
1	1664100	63	34	0	65	0	0	40	184	0	0	48	0	10	7	0	0	0	0	0	0	0
1	1664146	12	5	26	24	0	0	12	47	1	7	15	0	2	1	22	35	30	22	6	43	57
1	1666761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1726161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1729410	9	0	8	0	17	0	0	0	0	0	12	0	0	0	11	0	0	12	0	13	0
1	1729415	12	0	0	0	0	0	0	0	0	0	16	0	0	0	0	12	0	0	0	13	0
1	1729447	13	5	6	14	11	0	0	14	3	0	28	0	0	2	0	0	0	0	0	14	0
1	1729476	9	10	11	0	0	0	0	13	0	0	21	0	0	0	7	7	2	10	4	0	0
1	1729477	10	0	12	0	0	0	0	18	0	0	24	13	0	0	0	9	8	11	5	0	5
1	1729504	9	12	10	10	0	0	0	9	0	0	24	0	0	0	0	0	0	0	0	0	0
1	1729508	10	12	10	0	6	0	0	12	0	0	27	0	0	0	9	6	5	11	8	0	0
1	1729517	8	6	2	10	5	0	0	5	2	0	18	0	0	0	9	6	0	12	4	6	0
1	1729518	7	6	2	6	3	0	0	6	2	0	14	23	0	0	8	8	8	11	5	4	0
1	1729596	10	0	0	0	0	0	0	18	0	0	0	0	3	0	10	12	0	7	6	0	0
1	1729659	10	9	0	0	0	0	0	0	0	0	18	0	0	0	0	0	5	6	0	0	10
1	1729664	7	10	7	0	0	0	0	8	0	0	13	0	0	0	0	0	0	0	0	0	0
1	1729858	10	7	5	13	0	0	0	55	0	0	7	0	2	3	0	0	0	0	0	0	0
1	1729970	6	16	25	18	0	0	0	0	0	0	34	0	13	0	0	0	0	0	0	0	0
1	1730052	10	9	29	19	0	0	7	28	0	0	27	0	5	5	0	0	0	1	2	0	0
1	1730988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1731164	10	7	2	2	0	0	0	4	0	0	17	0	0	0	0	0	0	10	4	4	8
1	1731170	13	11	3	3	0	0	0	4	0	0	23	0	0	0	6	0	0	5	4	7	8
1	1731187	2	2	1	0	0	0	0	0	0	0	6	0	4	0	2	3	0	2	2	0	4
1	1731254	5	6	1	1	0	0	0	5	0	0	4	0	0	0	3	4	2	2	2	7	6
1	1731289	9	4	10	0	0	0	0	0	0	0	21	0	3	0	12	0	0	0	0	0	0
1	1731293	9	4	4	8	0	0	0	15	0	0	15	0	0	0	7	18	5	0	3	13	11
1	1731324	8	1	5	7	0	0	0	17	0	0	14	0	5	3	4	8	0	4	0	12	7
1	1731374	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1732165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1732189	14	19	0	13	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	12
1	1733355	6	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0
1	1733472	5	5	0	0	0	0	0	6	0	0	8	0	0	0	5	0	0	0	0	0	0
1	1733474	7	0	0	0	0	0	0	9	0	0	20	0	0	0	8	0	0	0	0	0	0
