chr	pos	GM12787_1	GM12787_2	GM12787_3	GM12787_4	GM12787_5	GM12787_6	GM12787_7	GM12787_8	GM12787_9	GM12787_10	GM12787_11	GM12787_12	GM12787_13	GM12787_14	K562_1	K562_2	K562_3	K562_4	K562_5	K562_6	K562_7
1	511684	4	0	0	4	3	0	0	10	0	0	0	0	0	0	0	0	14	0	0	0	0
1	749346	10	0	0	0	0	0	5	0	0	0	0	0	31	39	0	0	0	0	10	13	0
1	780381	10	0	0	0	0	0	0	0	3	0	6	0	0	20	5	11	0	0	0	0	0
1	783005	9	0	3	4	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
1	785743	11	7	8	8	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
1	807444	5	6	6	7	0	0	0	6	0	0	0	0	3	7	0	0	0	0	0	0	0
1	818044	9	7	0	6	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
1	958250	6	4	15	18	7	3	4	28	7	17	8	0	0	0	11	31	28	11	7	34	24
1	1083323	5	0	6	9	0	0	0	8	0	0	16	0	0	0	0	0	0	0	0	0	0
1	1101874	8	3	0	0	0	0	0	8	3	7	0	0	0	0	3	0	6	0	0	0	0
1	1105474	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	7	6	0	5
1	1223826	6	0	0	4	0	0	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0
1	1264831	8	8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8	0
1	1316867	8	0	9	0	0	6	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
1	1402871	21	13	0	0	0	0	0	0	7	0	21	0	0	0	18	0	0	14	0	3	3
1	1402938	14	0	0	0	0	0	0	0	0	0	12	0	0	0	12	0	0	7	0	0	0
1	1408125	14	12	0	6	0	0	0	17	0	0	47	0	0	0	0	0	0	0	0	10	0
1	1408874	4	8	7	18	3	0	0	33	0	0	23	19	33	15	19	22	0	8	0	24	17
1	1409620	27	14	27	21	25	26	13	56	16	22	26	0	0	0	16	33	19	10	6	24	35
1	1483149	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	49
1	1483155	14	11	27	15	0	0	8	39	0	0	0	0	0	0	30	65	41	31	0	56	48
1	1483679	8	16	13	15	0	0	12	36	0	0	30	0	0	6	22	44	24	25	21	32	24
1	1483680	8	16	12	16	0	0	12	36	0	0	30	29	6	6	0	0	0	0	0	0	0
1	1484309	11	9	25	19	0	0	0	38	0	0	17	0	5	0	25	34	16	23	13	61	57
1	1484319	10	8	27	25	0	0	10	49	0	0	16	0	0	0	26	41	16	23	12	71	63
1	1484365	13	12	17	17	0	0	0	44	0	0	23	0	4	0	21	44	15	15	10	52	38
1	1484387	14	17	12	14	0	0	0	41	0	0	24	0	0	3	25	44	7	20	15	41	25
1	1484392	14	16	14	16	0	0	6	41	0	0	25	0	4	3	28	44	11	22	13	46	29
